questions,answers
telling want cultivate cucumber land 2 bigha asking process cutivation practice,"suggested to select mar-apr  with an seed rate of 330 gram per bigha. the planting distance suggested is 1.5 x 1.2 metre . fertilizers suggested is 14, 37,17 and 300 kilogram of urea, super, potash and farm yard manure respectively. also suggested to treat per kilogram of seeds with 5 gram of captaf to prevent root rot before sowing. the preventive measures has also been elaborated in details and wished him success for a bulk produce more than his expectation."
asking financial assitstance dairy farming,suggested to contact with nearest sbi branch for loans& finances.
asking variety rajma,suggested that the variety is-uday.
asking preservation method potato tuber sown 78 month,"suggested mr. borbhuyan to dip the selected tubers (to be sown) in a solution of 30 gram boric acid and 1 litre of water for 30 minutes. after that the tubers are to be thinly spread in shade. also suggested to examine the tuber seeds and to separate and throw away the rotten ones and whenever such cases are observed, advised to spary malathion 5 percent dust powder with the help of a sprayer for which 200 gram of malathion 5 percent dust powder is sufficient for 1 quintal of potato tubers."
asking age castration goat,the age of castration is 2-3 months in goat.
asking increase production coconut,"suggested to apply recommended fertlizer dose like-urea@1.5kilogram/plant,ssp@2.5kilogram/plant,mop@1.75kilogram/plant,borax@25gram/plant.fertlizer should be applied in two equal split doses twice in a year to a trench of 30cm breadth,15cm depth at a radius of 1-1.75 meter away from the trunk."
asked fertilizer dose okra,"suggested to apply 14 kg urea, 41 kg ssp, 11kg mop and 2 q fym per bigha."
asking control measure control fruit rot problem cucumber,suggested to apply dithane m-45@2.5gram/liter of water.
asking treatment wound calf,suggested to clean the wound with normal saline and then spray topicure spray on the affected area twice daily.
asked fertilizer dose bhendi,"suggested to apply 14 kg urea, 41 kg ssp, 11 kg mop and 200 kg fym per bigha."
asked information regarding training mashroom cultivation,"suggested to contact sird, khanapara, assam at phone no 0361 2335154, 2331663"
asking source good breed duckling duck farming,"suggested to contact with s.i.r.d. khanapara,guwahati-22 for good breed ducklings."
asking control measure control cut worm infestation cucumber,suggested to spray neem based pesticide like-neem gold/neemax@5ml/liter of water.
asking fertilizer dose bitter gourd,"suggested mr das to apply urea-11 kg,super-29 kg,potash- 3 kg and compost-2 quintal/bigha as the recomended dose of fertilizers for bitter gourd."
asking treatment maggoted wound cow,suggested to clean the area and spray topicure spray on the affected area twice daily.
asking treatment anoestrus cow,suggested to administer prajana capsule @3 capsule on first day and 3 capsule on second day and repeat the same dose on eleventh day and twelve day.along with that inject tonophosfen inj @10 ml at alternate day for five times.
asking treatment worm infestation cow,suggested him to administer panacur 1.5gm bolus @1 bolus.repeat the same dose after 15 days.
asking hybrid variety maize,"suggested to grow hybrid variety like-ganga-5,hi-starch."
asking control measure control fruit borer pest ridge gourd,suggested to spray neem based pesticide like-achook/neem gold@5ml/liter of water.
asking treatment diarrhoea buffalo,suggested to administer neblon powder @50 gm twice daily for five days.change the feed for 10 days and observe.
asking treatment anoestrus cow,suggested to administer prajana capsule @3 capsule for two consecutive days and repeat the same dose on 10th and 11th day.along with that administer cofecu tab @1 tab daily.
asking treatment wound cow,suggested to keep the wound clean and then spray scavon spray on the affected area twice daily.
asking control measure taken control flower drop coocnut plant,"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also advised to spray planofix@1tsf/15 liters of water at the time of flowering.fertilizer should be applied in two equal split doses twice in a year in trench method."
asking control measure control stored grain pest infestation store house paddy,suggested to spray 5% malathion dust.
telling chilli fruit suffering rotting problemwhat reamedy measure,suggested to apply mancozeb@2.5 gram/liter of water.
asking controlling measure ganderma disease coconut,suggested mr paul to spray captan @2ml/litre of water and to apply 7kg neemcake and 1.5-2.0kg sulphur /tree.
asking proper spacing brinjal cultivation,suggested that spacing is-74cm.(row to row)x 60cm. (plant to plant).
asking sowing season black gram,mid august to mid september is the best sowing time for black gram
asking treatment deworming cow,suggested him to administer feroliv @1cup twice daily.
asking treatment diarrhoea cow,suggested to administer neblon powder @50 gm twice daily for five days.along with administer steclin bolus @2 bolus twice daily for five days.
asking early variety knolkhol,"given in details regarding early variety like-white vienna,priya etc."
asking control measure control rice caseworm infestation sali rice cultivation,suggested first to drain-off the excess water from the field to kill the floating larvae and to spray ekalux 25ec@2ml/liter of water.
asking control measure control fruit rot problem cow pea,suggested to apply dithane m-45@2.5gram/liter of water.
asking control measure control powdery mildew disease okra,suggested to apply sulfex@1 teaspoonful/liter of water.
farmer got 1kg rice seed gram panchayat officila free cost asking variety said seed,suggested to conferm the variety from concern agricultural development officer or village level extension worker of state department of agriculture.
asking sowing time early variety cauliflower,suggested that early sowing time is-mid july to first week of august.
asking control measure control brinjal fruit borer pest brinjal cultivation,suggested to spray azadirachtin product like-neem gold/neemax-m@2ml/liter of water.
asking control measure control leaf curling problem chilli,suggested to spray rogor 40ec@2.5ml/liter of water at 15 days interval.
asking treatment mastitis cow,suggested him to administer m-ceft inj i/mly.along with that administer ketop inj @3ml i/mly for 5 days.
asking vaccination schedule broiler chick,"0-5days=f1ranikhet,10-15days=i.b.d.vaccine,20-21days=booster dose ranikhet."
asking control measure control leaf eating caterpillar lemon,advised to spray 3 numbers of sprays of dimacron @ 4 milli litre per litre of water at an interval of 7 days.
asking financial assistance dairy farming,suggested to contact with nearest s.b.i.branch for loans &finances.
asking treatment caugh goat,"suggested him to administer caflon powder @10gm twice daily for 5 days,"
asking control measure fruit borer bottle gourd,suggested mr ghosh to spray malathion 50 ec @2ml/litre of water as the controlling measure for fruit borer of bottle gourd.
asking variety name chilli,"suggested to grow variety like-np-46,pusa jwala,suryamukhi,tejaswinee."
asked control measure fruit stem borer okra,suggested to spray the crop with malathion 50 ec @ 2 ml per lit of water.
asking control measure control rice case worm affecting paddy cultivation badly,suggested to spray chlorpyriphos 20 ec @ 2 milli litre per litre of water.
asking early cabbage variety,"suggested to grow early variety like-golden acre,pride of india,pusa mukta etc."
asking control measure control anthracnose disease chilli,suggested to apply mancozeb@2.5gram/liter of water.
asked control measure root rot bottle gourd,suggested to follow pre sowing seed treatment with captan 50 wp @ 5 gm per kg of seed.
asking early variety name cabbage,"suggested to grow early variety like-golden acre,pusa mukta,pride of india."
asking planting time betel vine,april to august
asking fertilizer management potato,"suggested mr koiri to apply urea-19 kg,super-45kg,potash-12 kg and compost 2 quintal as per bigha."
asking treatment wound cow,suggested to clean the wound with normal saline and then spray topicure spray over the affected area.
asking early cabbage variety,"suggested in details regarding early cabbage variety like-golden acre,pride of india,pusa mukta etc."
asking bloat calf,suggested him to administer floaratone bolus @1 bolus daily for3 days.
asking control measure fruit shoot borer,suggested to spay malathion 50 ec @ 1.5 ml/liter water.
asking control measure fruit borer cucumber,advised to spray malathion 50ec @ 2 milli litre per litre of water followed by a waiting period of 10 days.
asking treatment diarrhoea cow,suggested to administer neblon powder @50 gm twice daily for five days.along with that administer tetracycline bolus @2 bolus twice daily for five days.
asking govt scheme subsidy go purchasing knap sack sprayer,advised mr. guwala to coordinate with the district agriculture officer of his district.
detail fungicide,describe him in details
asking variety name cabbage,"suggested in details about the early variety like-golden acre,pride of india,pusa mukta etc."
asking control measure control fruit rot problem cucumber,suggested to spray dithane m-45@2gram/liter of water followed by waiting period for 5-7 days.
asking treatment diarrhoea cow,suggested to administer neblon powder @50 gm twice daily for five days.along with that administer tetracycline bolus @2 bolus twice daily.
telling asked bribe agricultural development officer vlew locality approached sanctioning kisan credit card loan,"advised mr. barman to lodge a complain against them in written to the concerned district agricultural officer, department of agriculture, govt. of assam. the farmer also suggested to approach nearest nationalised bank for kisan credit card loan."
asking treatment bloat cow,suggested him to administer floaratone bolus @2bolus twice daily for 3 days.
asking control measure shoot fruit borer,suggested to apply trichoderma card as biological control agent or spray malathion 50 ec @ 1.5ml/liter water.
asking treatment diarrhoea cow,suggested to administer neblon powder @50 gm twice daily for five days.
asking poultry farming,"suggested him how to establish a poultry farming-chick selection,housing,vaccination,treatment,marketing etc."
asking treatment white diarrhoea poultry,suggested him to administer tetracycline powder @4gm in 4 ltr of water 2-3 times daily.
asking control measure fruit borer brinjal,suggested to spray decis 2.4ec @ 1 milli litre per litre of water.
asking varity name tomato,"suggested to grow variety like-punjam chhuhara,pusa early dwarf,pusa rubi,arka alok."
asking controlling measure rice hispa,suggested mr gokh to spray monocrotophos 40ec@4ml/litre of water for controlling rice hispa.
asking control measure control rice case worm pest paddy field,suggested to spray tricel 20ec@2mililiter/liter of water.
asking fertilizer dose knol khol cultivated land 1 bigha along planting distance,"23, 41, 13 and 200 kilo grams of urea, ssp, mop and farm yard manure respectively have been suggested for 1 bigha of land for knol khol cultivation. planting distance suggested is 30 centimetre from row to row and 25 centimetre from plant to plant."
asking controlling measure fruit borer brinjal,suggested to spray malathion 50 ec@2ml/litre of water for controlling fruit borer of brinjal.
asking variety name chilli,"suggested to grow variety like-pusa jwala,suryamukhi,tejaswini,hyb-1,hyb-2,hyb-3"
asking age castration goat,the proper age for castration in case goat is 2-3 month of age.
asking controlling measure fruit borer brinjal,suggested mr laskar to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.
asking control measure control termite infestation root portion brinjal,suggested to apply furadon 3g@10gram/plant near the base around the root.
asking control meausure aphid black gram cultivation,rogor 40ec solution @ 75 milli litre in 60 litres of water for per bigha of land has been suggested to be sparyed for such pests.
asking treatment eye infection cow,suggested to give ciplx eye drop @5 drops twice daily for five days.
asking control measure control leaf curl disease chilli,suggested to spray rogor 40ec@2mililiter/liter of water followed by waiting period for 5-7 days.
asking variety chilli,"suggested mr kairi to cultivate np-46,pusa jwala,suryamukhi,krisna and other local varieties to  cultivate as the varieties of chilli."
asking source paddy harvester subsidized rate,"suggseted to contact ado, dept. of agriculture, govt. of assam"
asking control measure control aphid infestation brinjal,suggested to apply furadon@10gram/plant in ring method near the root portion.
asking local variety name potato,"suggested to grow local variety like-rongpuriya,lalpahari,badami."
asking control measure aphid spinach,advised to spray profex @ 1.5 milli litre per litre of water and waiting period suggested is 10 days.
asking treatment white diarrhoea poultry,suggested him to administer tetracycline powder @4gm in 4 ltr of water 2-3 times daily.
asking treatment diarhoea cow,suggested to administer 3d care bolus @2 bolus twice daily for five days.
asking winter management broiler farming,explain in details about winter management of broiler farming.
asking increase milk cow,suggested him to administer intacal 100ml daily.along with that administer agrimin forte @40gm twice daily.
asking treatment bloat cow,suggested to administer afanil 100 ml at a time and repeat the same dose after 6 hours.
asking control measure brinjal fruit shoot borer,decis 2.4ec solution @ 1 milli litre in 1 litre of water has been suggested to spray.
asking control measure fruit borer brinjal,suggested mr mahsir to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.
asking treatment humpsore cow,suggested to apply himax ont.over the affected area twice daily.
asking recommended fertilizer dose cabbage,"suggested about the recommended fertilizer dose like-urea@25 kilogram/bigha,ssp@41 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha. half dose of urea and full doses of ssp and mop,fym should be applied at the time of land preparation and remaining urea should be top dressed 20-25 days after planting"
asking variety name cauliflower,"suggested to grow variety like-improved japanese,pusa synthetic,pusa deepali,pusa katki,pusa snow ball,himani etc"
asking broiler farming,"describe him where broiler chicks are available,how to establish a broiler farm-including housing,vaccination,treatment,management,marketing etc."
asking production technology mushroom,given in details regarding the production technology.
asking control measure control immature fruit drop problem coconut age 5 year,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk."
asking stage irrigation potato,"replied that the three numbers of irrigations has to be adopted. ist at 25 days (stolon formation stage) , 2nd at 60 days ( tuber formation stage) and the 3rd irrigation at 80 days ( tuber development stage). also replied that in case of mulching materials in furrows, only two numbers of irrigation has to be adopted . one at 25 days and the other at 60 days."
asking control measure control immature fruit drop problem coconut,"suggested to apply recommended fertilizer like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@50gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk"
asked control measure fungal wilt brinjal,suggested to drench the soil with captan @ 3gm per liter of water.
asking treatment diarrhoea cow,suggested to administer neblon powder @ 50 gm twice daily for five days.along with that administer steclin bolus @2 bolus twice daily for five days.
asking control measure control late blight disease potato,suggested to apply dithane m-45@2.5gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval
asking treatment general weakness cow,"as already deworming is done ,suggested him to administer live 52 vet @1cup twice daily for 1 month.administer agrimin forte @40gm twice daily.also administer intacal @100ml daily."
asking treatment white diarrhoea poultry,suggested him to administer tetracycline powder @4gm per 4ltr of water 2-3 times dailyfor 5-6 days.
asking fertilizer dose tomato,"suggested about the fertilizer dose like-urea@22kilogram/bigha,ssp@50 kilogram/bigha,mop@13 kilogram/bigha,fym@2 quintal/bigha."
asking control measure control fruit rot chilli,suggested to spray mancozeb@2gram/liter of water.
asking treatment diarrhoea cow,suggested to administer 3 care bolus @ 2 bolus twice daily for five days.
asking financial assistance dairy farming,suggested to contact with nearest s.b.i branch for loans & finances.
asking control measure control fruit rot disease french bean,suggested to spray bavistin@2gram/liter of water.
asking control measure rhinoceros beetle coconut tree,advised to apply malathion 5% dust mixed with equal quantity of sand at the axil of the leaves at the crown as a control measure against rhinoceros beetle in coconut trees.
asking treatment cough cow,suggested him to administer caflon powder @25 gm daily for 5 days.
asking financial assistance dairy farming,suggested him to contact nearest s.b.i. branch manager for details information.
asking avail kisan credit card facility,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asking control measure fruit borer brinjal,suggested mr malik to spray malathion 50ec@2ml/litre of water for controlling fruit borer of brinjal.
asking treatment general weakness cow,suggested him to administer ferolive @1cup twice daily.along with that also administer agrimin forte @25gm twice daily for 1 month.
asked control measure root rot brinjal,suggested to drench the soil with captaf @ 2gm per liter of water and to go for seed treatment before sowing.
asking financial assistance broiler farming,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asking financia assistance broiler farming,"suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.

suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area.

suggested to contact with nearest nationalized bank,agriculture field officer/marketing and recovery officer located in his area."
asking control measure control flower drop problem coconut age 3 year,"suggested to apply recommended fertilizer like-urea@900 gram/plant,ssp@1.5 kilogram/plant,mop@1050 gram/plant,borax@25gram/plant.fertilizer should be applied in two equal halves twice in a year to a trench of 10-12 centimeter depth,30 centimeter breadth with a radius of 1-1.75 meter  away from the main trunk."
asking control measure control fruit rot bottle gourd,suggested to apply carbendazim@2gram/liter of water.
asking control measure control fruit rot bottle gourd,suggested to spray bavistin@2gram/liter of water at 7 days interval.
asking propagation method banana,replied that healthy suckers should be selected and to be uprooted with corm. to trim all the roots without damaging the buds. also to give a slanting cut to the pseudostem 30 centi metre above the base of the sucker and the weight of such planting materials should be around 1.5 kilo gram to 2.0 kilo gram.
asking manure fertilizer dose term per bigha land spine gourd cultivation,"14, 33, 11 and 300 kilo grams of urea, single super phosphate, muriate of potash and farm yard manure respectively has been suggested in terms of per bigha of land for spine gourd cultivation. half doses of urea and full doses of the others suggested should be applied as basal and the remaining half of urea to be top dressed at vining."
